lon,lat,common_name,number_found,observation_date,county
-73.9618917,40.6875833,Spotted Lanternfly,1.0,12-Sep-2021,Kings
-74.015175,40.7075467,Spotted Lanternfly,1.0,12-Sep-2021,New York
-74.0007556,40.7540033,Spotted Lanternfly,1.0,12-Sep-2021,New York
-74.122701,40.562524,Spotted Lanternfly,1.0,12-Sep-2021,Richmond
-73.9907583,40.6628333,Spotted Lanternfly,1.0,12-Sep-2021,Kings
-73.9632806,40.6497778,Spotted Lanternfly,1.0,12-Sep-2021,Kings
-74.1365204,40.5296097,Spotted Lanternfly,1.0,12-Sep-2021,Richmond
-73.9632033,40.8098717,Spotted Lanternfly,1.0,12-Sep-2021,New York
-73.9565659,40.7647324,Spotted Lanternfly,1.0,12-Sep-2021,New York
-73.979308,40.7590255,Spotted Lanternfly,1.0,12-Sep-2021,New York
-74.0167357,40.6930217,Spotted Lanternfly,1.0,12-Sep-2021,New York
-74.1485512,40.6193667,Spotted Lanternfly,1.0,04-Sep-2021,Richmond
-73.9916261,40.6602374,Spotted Lanternfly,1.0,13-Sep-2021,Kings
-73.942936,40.7465282,Spotted Lanternfly,1.0,13-Sep-2021,Queens
-73.9983533,40.7559303,Spotted Lanternfly,1.0,07-Sep-2021,New York
-74.1024444,40.6417167,Spotted Lanternfly,1.0,13-Sep-2021,Richmond
-73.9581945,40.7979039,Spotted Lanternfly,1.0,11-Sep-2021,New York
-73.9592464,40.7959781,Spotted Lanternfly,1.0,11-Sep-2021,New York
-74.0106806,40.7202083,Spotted Lanternfly,1.0,13-Sep-2021,New York
-73.9750016,40.7761495,Spotted Lanternfly,1.0,08-Sep-2021,New York
-74.1496474,40.5996901,Spotted Lanternfly,1.0,11-Sep-2021,Richmond
-74.0900826,40.631842,Spotted Lanternfly,1.0,10-Sep-2021,Richmond
-73.9813833,40.769195,Spotted Lanternfly,1.0,13-Sep-2021,New York
-74.0125903,40.7150516,Spotted Lanternfly,1.0,14-Sep-2021,New York
-74.0156663,40.6750299,Spotted Lanternfly,1.0,14-Sep-2021,Kings
-74.0941544,40.6449432,Spotted Lanternfly,1.0,14-Sep-2021,Richmond
-73.9812622,40.6566544,Spotted Lanternfly,1.0,14-Sep-2021,Kings
-74.1024674,40.5799905,Spotted Lanternfly,1.0,11-Sep-2021,Richmond
-73.9885467,40.7782833,Spotted Lanternfly,1.0,14-Sep-2021,New York
-74.1010551,40.617908,Spotted Lanternfly,1.0,14-Sep-2021,Richmond
-73.99057,40.7732687,Spotted Lanternfly,1.0,14-Sep-2021,New York
-74.014481,40.7153667,Spotted Lanternfly,1.0,14-Sep-2021,New York
-73.9677883,40.6563133,Spotted Lanternfly,1.0,14-Sep-2021,Kings
-74.0035133,40.6515085,Spotted Lanternfly,1.0,14-Sep-2021,Kings
-73.9959804,40.69513,Spotted Lanternfly,1.0,13-Sep-2021,Kings
-73.9655999,40.7881801,Spotted Lanternfly,1.0,15-Sep-2021,New York
-73.965804,40.7881178,Spotted Lanternfly,1.0,15-Sep-2021,New York
-74.001359,40.741111,Spotted Lanternfly,1.0,13-Sep-2021,New York
-73.9658704,40.7880484,Spotted Lanternfly,1.0,15-Sep-2021,New York
-73.9655582,40.7881222,Spotted Lanternfly,1.0,15-Sep-2021,New York
-74.006263,40.749365,Spotted Lanternfly,1.0,12-Sep-2021,New York
-74.006198,40.749389,Spotted Lanternfly,1.0,12-Sep-2021,New York
-74.006253,40.749389,Spotted Lanternfly,1.0,12-Sep-2021,New York
-74.006208,40.749359,Spotted Lanternfly,1.0,12-Sep-2021,New York
-74.006184,40.749401,Spotted Lanternfly,1.0,12-Sep-2021,New York
-73.9658634,40.7880714,Spotted Lanternfly,1.0,15-Sep-2021,New York
