lon,lat,observation_date,county,Spotted Lanternfly
-73.9812622,40.6566544,14-Sep-2021,Kings,1
-74.1024674,40.5799905,11-Sep-2021,Richmond,1
-73.9885467,40.7782833,14-Sep-2021,New York,1
-74.1010551,40.617908,14-Sep-2021,Richmond,1
-73.99057,40.7732687,14-Sep-2021,New York,1
-74.014481,40.7153667,14-Sep-2021,New York,1
-73.9677883,40.6563133,14-Sep-2021,Kings,1
-74.0035133,40.6515085,14-Sep-2021,Kings,1
-73.9959804,40.69513,13-Sep-2021,Kings,1
-73.9655999,40.7881801,15-Sep-2021,New York,1
-73.965804,40.7881178,15-Sep-2021,New York,1
-74.001359,40.741111,13-Sep-2021,New York,1
-73.9658704,40.7880484,15-Sep-2021,New York,1
-73.9655582,40.7881222,15-Sep-2021,New York,1
-74.006263,40.749365,12-Sep-2021,New York,1
-74.006198,40.749389,12-Sep-2021,New York,1
-74.006253,40.749389,12-Sep-2021,New York,1
-74.006208,40.749359,12-Sep-2021,New York,1
-74.006184,40.749401,12-Sep-2021,New York,1
-73.9658634,40.7880714,15-Sep-2021,New York,1
-73.8268867,40.6176208,11-Sep-2021,Queens,1
-73.9728867,40.7790367,15-Sep-2021,New York,1
-73.9706073,40.6814697,07-Sep-2021,Kings,1
-73.9794861,40.7135978,15-Sep-2021,New York,1
-73.9448355,40.6452315,15-Sep-2021,Kings,1
-73.96576,40.788158,15-Sep-2021,New York,1
-74.180475,40.5693917,15-Sep-2021,Richmond,1
-74.0380019,40.6393561,15-Sep-2021,Kings,1
-74.1299973,40.5999985,16-Sep-2021,Richmond,1
-74.0716881,40.6165866,07-Sep-2021,Richmond,1
-73.9375915,40.5486888,16-Sep-2021,Queens,1
-73.9733512,40.5746888,16-Sep-2021,Kings,1
-73.9748,40.77622,15-Sep-2021,New York,1
-73.9661293,40.7597339,16-Sep-2021,New York,1
-73.9954831,40.6738433,16-Sep-2021,Kings,1
-73.971671,40.7654472,08-Sep-2021,New York,1
-74.1658333,40.584525,16-Sep-2021,Richmond,1
-73.9768667,40.7808533,16-Sep-2021,New York,1
-74.0445131,40.6894132,16-Sep-2021,New York,1
-73.9611692,40.8062857,16-Sep-2021,New York,1
-73.9182721,40.8694665,16-Sep-2021,New York,1
-73.9182315,40.8694718,16-Sep-2021,New York,1
-73.9753699,40.7924146,16-Sep-2021,New York,1
-73.9281455,40.7731736,17-Sep-2021,Queens,1
-73.9077065,40.7474177,08-Sep-2021,Queens,1
-73.976495,40.7614367,14-Sep-2021,New York,1
-73.9777167,40.7957715,17-Sep-2021,New York,1
-73.9789249,40.7526852,07-Sep-2021,New York,1
-73.913109,40.753768,03-Sep-2021,Queens,1
-73.910673,40.747754,08-Sep-2021,Queens,1
-73.8683752,40.7698399,08-Sep-2021,Queens,1
-73.8746761,40.770655,18-Sep-2021,Queens,1
-73.9820178,40.6920764,18-Sep-2021,Kings,1
-73.9761503,40.7800967,19-Sep-2021,New York,1
-73.9231015,40.7918988,17-Sep-2021,New York,1
-73.9398202,40.8538836,17-Sep-2021,New York,1
