"x","y","scientific_name","common_name","observation_date","number_found","observer","organization_name","confirmed_ind","species_id_method_name_array","species_verified_by_name","follow_up_name","evaluation_type_name","has_photo_ind","confidential_ind","source_unique_id","source_record_url","imap_url","imap_id","species_type","growth_habit","jurisdiction","county","regional_management_partnership","waterbody","bulk_upload_id","bulk_upload_name","uuid","jurisdiction_species_id","projects","project_ids","approximate_ind","approximate_to"
"-73.9419250","40.8260217","Lycorma delicatula","Spotted Lanternfly","02-Oct-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","96939859","https://www.inaturalist.org/observations/96939859","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167047.html","1167047","Animal","Plant Pest","New York","New York","Lower Hudson","","","","b0b4ce2a-b3b5-4a88-a9de-d2f82f4ac107","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-73.9628917","40.6599500","Lycorma delicatula","Spotted Lanternfly","02-Oct-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","96977650","https://www.inaturalist.org/observations/96977650","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167049.html","1167049","Animal","Plant Pest","New York","Kings","LIISMA","","","","08414fdf-054c-4d4b-91bd-3a62cf052be2","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-73.9669419","40.8011152","Lycorma delicatula","Spotted Lanternfly","27-Sep-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","97037945","https://www.inaturalist.org/observations/97037945","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167050.html","1167050","Animal","Plant Pest","New York","New York","Lower Hudson","","","","5392fa15-a651-4a88-b4da-5a4bfb45ac83","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-73.9698128","40.7776087","Lycorma delicatula","Spotted Lanternfly","03-Oct-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","97038656","https://www.inaturalist.org/observations/97038656","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167051.html","1167051","Animal","Plant Pest","New York","New York","Lower Hudson","","","","a3627294-77c1-43b8-9147-50ce797b3edd","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-73.9697404","40.7776025","Lycorma delicatula","Spotted Lanternfly","03-Oct-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","97038657","https://www.inaturalist.org/observations/97038657","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167052.html","1167052","Animal","Plant Pest","New York","New York","Lower Hudson","","","","582e68b1-a687-4f83-8bcf-0c3c8ac24846","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-73.9698021","40.7776127","Lycorma delicatula","Spotted Lanternfly","03-Oct-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","97038658","https://www.inaturalist.org/observations/97038658","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167053.html","1167053","Animal","Plant Pest","New York","New York","Lower Hudson","","","","e335e4e3-f7a1-484d-b481-726fb8c28f2e","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-73.8412087","40.7188745","Lycorma delicatula","Spotted Lanternfly","03-Oct-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","97050919","https://www.inaturalist.org/observations/97050919","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167054.html","1167054","Animal","Plant Pest","New York","Queens","LIISMA","","","","a048c7e6-6f3d-4003-8a8c-0da3c99fbdd2","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-73.9886167","40.7425200","Lycorma delicatula","Spotted Lanternfly","03-Oct-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","97064927","https://www.inaturalist.org/observations/97064927","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167058.html","1167058","Animal","Plant Pest","New York","New York","Lower Hudson","","","","70d5db3a-03bb-4718-8ba0-5c27f2a82612","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-73.9653990","40.6907190","Lycorma delicatula","Spotted Lanternfly","03-Oct-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","97081565","https://www.inaturalist.org/observations/97081565","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167059.html","1167059","Animal","Plant Pest","New York","Kings","LIISMA","","","","64bffa35-d433-417e-b5ae-dd7724c23937","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-73.9439617","40.7252583","Lycorma delicatula","Spotted Lanternfly","03-Oct-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","97088236","https://www.inaturalist.org/observations/97088236","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167063.html","1167063","Animal","Plant Pest","New York","Kings","LIISMA","","","","11155e3e-47f0-459f-8a64-690e473f65db","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
