Search type: State

Dicot

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ALPE4,,Alliaria petiolata (M. Bieb.) Cavara & Grande,garlic mustard
ALPE4,ALAL8,"Alliaria alliaria (L.) Britton, nom. inval.",
ALPE4,ERAL14,Erysimum alliaria L.,
ALPE4,ALOF3,Alliaria officinalis Andrz. ex M. Bieb.,
ALPE4,SIAL11,Sisymbrium alliaria (L.) Scop.,
ALNUS,,Alnus Mill.,alder
ALFA4,,Alnus ×fallacina Callier [incana × serrulata],alder
ALGL2,,Alnus glutinosa (L.) Gaertn.,European alder
ALGL2,ALAL7,"Alnus alnus (L.) Britton, nom. inval.",
ALIN2,,Alnus incana (L.) Moench,gray alder
ALINR,,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,speckled alder
ALINR,ALINA,Alnus incana (L.) Moench var. americana Regel,
ALINR,ALRU3,Alnus rugosa (Du Roi) Spreng.,
ALINR,ALRUA,Alnus rugosa (Du Roi) Spreng. var. americana (Regel) Fernald,
ALSE2,ALINS,Alnus incana (L.) Moench var. serrulata (Aiton) B. Boivin,
ALSE2,,Alnus serrulata (Aiton) Willd.,hazel alder
ALSE2,ALNO,Alnus noveboracensis Britton,
ALSE2,ALSES,Alnus serrulata (Aiton) Willd. var. subelliptica Fernald,
ALVI5,,Alnus viridis (Chaix) DC.,green alder
ALVIC,ALCR6,Alnus crispa (Aiton) Pursh,
ALVIC,,Alnus viridis (Chaix) DC. ssp. crispa (Aiton) Turrill,mountain alder
ALVIC,ALCRE,Alnus crispa (Aiton) Pursh var. elongata Raup,
ALVIC,ALHU3,Alnus ×hultenii Murai p.p.,
ALVIC,ALCRM,Alnus crispa (Aiton) Pursh var. mollis (Fernald) Fernald,
ALVIC,ALVIC2,Alnus viridis (Chaix) DC. var. crispa (Aiton) House,
ALVIC,DUVI3,Duschekia viridis (Chaix) Opiz p.p.,
ALTER2,,Alternanthera Forssk.,joyweed
ALPU3,ACRE5,Achyranthes repens L.,
ALPU3,,Alternanthera pungens Kunth,khakiweed
ALPU3,ALRE2,"Alternanthera repens (L.) Link, non J.F. Gmel.",
ALPU3,ACLE5,Achyranthes leiantha (Seub.) Standl.,
ALPU3,ALAC6,Alternanthera achyrantha (L.) R. Br. ex Sweet,
ALTHA,,Althaea L.,marshmallow
ALHI2,,Althaea hirsuta L.,hairy marshmallow
ALOF2,,Althaea officinalis L.,common marshmallow
ALYSS,,Alyssum L.,madwort
ALAL3,ALCA11,Alyssum calycinum L.,
ALAL3,,Alyssum alyssoides (L.) L.,pale madwort
ALAL3,CLAL10,Clypeola alyssoides L.,
AMARA,,Amaranthus L.,pigweed
AMAL,AMGRP,Amaranthus graecizans L. var. pubescens Uline & Bray,
AMAL,,Amaranthus albus L.,prostrate pigweed
AMAL,AMALP3,Amaranthus albus L. var. pubescens (Uline & Bray) Fernald,
AMAL,AMPU,Amaranthus pubescens (Uline & Bray) Rydb.,
AMBL,,Amaranthus blitoides S. Watson,mat amaranth
AMBL,AMGR,Amaranthus graecizans auct. non L.,
AMBL2,,Amaranthus blitum L.,purple amaranth
AMBLB,AMAS,Amaranthus ascendens Loisel.,
AMBLB,,Amaranthus blitum L. var. blitum,purple amaranth
AMBLB,AMVI6,Amaranthus viridis auct. non L.,
AMBLE2,,Amaranthus blitum L. var. emarginatus (Salzm. ex Uline & W.L. Bray) Lambinon,purple amaranth
AMBLE2,AMBLE,"Amaranthus blitum L. ssp. emarginatus (Moq. ex Uline & Bray) Carretero, Garmendia & Pedrol",
AMBLE2,AMLI,Amaranthus lividus auct. non L.,
AMCA2,,Amaranthus cannabinus (L.) Sauer,tidalmarsh amaranth
AMCA2,ACCA11,Acnida cannabina L.,
AMCA3,,Amaranthus caudatus L.,foxtail amaranth
AMCA3,AMED,Amaranthus edulis Speg.,
AMCR2,,Amaranthus crispus (Lesp. & Thev.) N. Terracc.,crispleaf amaranth
AMCR4,AMHYC,Amaranthus hybridus L. ssp. cruentus (L.) Thell.,
AMCR4,,Amaranthus cruentus L.,red amaranth
AMCR4,AMHYC2,Amaranthus hybridus L. var. cruentus (L.) Moq.,
AMCR4,AMPA10,Amaranthus paniculatus L.,
AMDE,,Amaranthus deflexus L.,largefruit amaranth
AMHY,AMIN6,Amaranthus incurvatus Tim. ex Gren. & Godr.,
AMHY,AMCH7,Amaranthus chlorostachys Willd.,
AMHY,,Amaranthus hybridus L.,slim amaranth
AMHY,AMPA11,Amaranthus patulus Bertol.,
AMHY2,,Amaranthus hypochondriacus L.,Prince-of-Wales feather
AMHY2,AMHYH,Amaranthus hybridus L. ssp. hypochondriacus (L.) Thell.,
AMHY2,AMLE2,Amaranthus leucocarpus S. Watson,
AMPA,,Amaranthus palmeri S. Watson,carelessweed
AMPO2,,Amaranthus powellii S. Watson,Powell's amaranth
AMPOP,,Amaranthus powellii S. Watson ssp. powellii,Powell's amaranth
